kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,fin_co_subm_day,dcls_month_y,fin_co_no_y,intr_rate_type,intr_rate_type_nm,save_trm,intr_rate,intr_rate2,rsrv_type,rsrv_type_nm
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010001,S,단리,1,3.0,3.0,,
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010001,S,단리,3,3.37,3.37,,
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010001,S,단리,6,3.42,3.42,,
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010001,S,단리,12,3.37,3.37,,
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010001,S,단리,24,2.7,2.7,,
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010001,S,단리,36,2.7,2.7,,
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010534,S,단리,36,3.2,3.2,S,정액적립식
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010534,S,단리,24,3.1,3.1,S,정액적립식
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010534,S,단리,12,3.0,3.0,S,정액적립식
우리은행,WON플러스예금,"인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기예금 금리",해당사항 없음,1,실명의 개인,"- 가입기간: 1~36개월
- 최소가입금액: 1만원 이상
- 만기일을 일,월 단위로 자유롭게 선택 가능
- 만기해지 시 신규일 당시 영업점과 인터넷 홈페이지에 고시된 계약기간별 금리 적용",,202410211020,202410,0010534,S,단리,6,2.5,2.5,S,정액적립식
한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",1,개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000.0,202411010944,202410,0010002,S,단리,1,3.0,3.2,,
한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",1,개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000.0,202411010944,202410,0010002,S,단리,3,3.3,3.5,,
한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",1,개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000.0,202411010944,202410,0010002,S,단리,6,3.25,3.45,,
한국스탠다드차타드은행,e-그린세이브예금,"인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","1.SC제일은행 최초 거래 신규고객에 대하여 우대 이율을 제공함 (보너스이율0.2%)                     2.SC제일마이백통장에서 출금하여 이 예금을 신규하는경우에 보너스이율을 제공함
(가입기간:1년제/ 보너스이율:0.1% / 만기해약하는 경우에 한해 보너스이율을 적용함)",1,개인(개인사업자 포함),"디지털채널 전용상품 (인터넷, 모바일뱅킹)",1000000000.0,202411010944,202410,0010002,S,단리,12,3.05,3.35,,
아이엠뱅크,iM주거래우대예금(첫만남고객형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.65%p              
 - 목돈굴리기예금 최초 가입시 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 신용(체크)카드 신규 발급 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 인터넷.폰.모바일앱뱅킹 가입 : 연0.20%p
 * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411080921,202410,0010016,S,단리,6,2.22,2.87,,
아이엠뱅크,iM주거래우대예금(첫만남고객형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.65%p              
 - 목돈굴리기예금 최초 가입시 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 신용(체크)카드 신규 발급 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 인터넷.폰.모바일앱뱅킹 가입 : 연0.20%p
 * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411080921,202410,0010016,S,단리,12,2.91,3.56,,
아이엠뱅크,iM주거래우대예금(첫만남고객형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.65%p              
 - 목돈굴리기예금 최초 가입시 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 신용(체크)카드 신규 발급 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 인터넷.폰.모바일앱뱅킹 가입 : 연0.20%p
 * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411080921,202410,0010016,S,단리,24,2.78,3.43,,
아이엠뱅크,iM주거래우대예금(첫만남고객형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.65%p              
 - 목돈굴리기예금 최초 가입시 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 신용(체크)카드 신규 발급 : 연0.20%p
 - 상품 가입 전 최근 1개월 이내 인터넷.폰.모바일앱뱅킹 가입 : 연0.20%p
 * 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411080921,202410,0010016,S,단리,36,2.8,3.45,,
아이엠뱅크,iM행복파트너예금(일반형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.45%p
- 지난달 당행 통장으로 연금 입금 실적 보유 : 연0.10%p
- 상품 가입 전 당행 신용(체크)카드 보유 : 연0.10%p
- 지난 3개월 예금 평잔 30만원 이상 : 연0.10%p
- iM행복파트너적금 동시 가입 및 만기 보유 : 연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",3,만50세 이상 실명의 개인,계좌당 가입 최저한도 : 100만원,,202410210938,202410,0010016,S,단리,3,1.82,2.27,,
아이엠뱅크,iM행복파트너예금(일반형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.45%p
- 지난달 당행 통장으로 연금 입금 실적 보유 : 연0.10%p
- 상품 가입 전 당행 신용(체크)카드 보유 : 연0.10%p
- 지난 3개월 예금 평잔 30만원 이상 : 연0.10%p
- iM행복파트너적금 동시 가입 및 만기 보유 : 연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",3,만50세 이상 실명의 개인,계좌당 가입 최저한도 : 100만원,,202410210938,202410,0010016,S,단리,6,2.32,2.77,,
아이엠뱅크,iM행복파트너예금(일반형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.45%p
- 지난달 당행 통장으로 연금 입금 실적 보유 : 연0.10%p
- 상품 가입 전 당행 신용(체크)카드 보유 : 연0.10%p
- 지난 3개월 예금 평잔 30만원 이상 : 연0.10%p
- iM행복파트너적금 동시 가입 및 만기 보유 : 연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",3,만50세 이상 실명의 개인,계좌당 가입 최저한도 : 100만원,,202410210938,202410,0010016,S,단리,12,3.01,3.46,,
아이엠뱅크,iM행복파트너예금(일반형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.45%p
- 지난달 당행 통장으로 연금 입금 실적 보유 : 연0.10%p
- 상품 가입 전 당행 신용(체크)카드 보유 : 연0.10%p
- 지난 3개월 예금 평잔 30만원 이상 : 연0.10%p
- iM행복파트너적금 동시 가입 및 만기 보유 : 연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",3,만50세 이상 실명의 개인,계좌당 가입 최저한도 : 100만원,,202410210938,202410,0010016,S,단리,24,2.88,3.33,,
아이엠뱅크,iM행복파트너예금(일반형),"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.45%p
- 지난달 당행 통장으로 연금 입금 실적 보유 : 연0.10%p
- 상품 가입 전 당행 신용(체크)카드 보유 : 연0.10%p
- 지난 3개월 예금 평잔 30만원 이상 : 연0.10%p
- iM행복파트너적금 동시 가입 및 만기 보유 : 연0.10%p
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",3,만50세 이상 실명의 개인,계좌당 가입 최저한도 : 100만원,,202410210938,202410,0010016,S,단리,36,2.9,3.35,,
아이엠뱅크,iM함께예금,"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.45%p
- 전월 총 수신 평잔실적 또는 상품 가입 전 첫만남플러스 통장 보유시
- 당행 주택청약상품보유
- 신규일 iM함께적금 동시 가입 및 만기 보유
-당행 오픈뱅킹서비스에 다른 은행 계좌 등록시
각 연0.10%p
* 해당 상품 인터넷/모바일뱅킹 통해 가입 시 : 연0.05%p",1,실명의 개인 및 개인사업자,계좌당 가입 최저한도 : 100만원,,202410210938,202410,0010016,S,단리,12,3.05,3.5,,
아이엠뱅크,iM스마트예금,"인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.25%p
- 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411050906,202410,0010016,S,단리,1,2.1,2.15,,
아이엠뱅크,iM스마트예금,"인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.25%p
- 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411050906,202410,0010016,S,단리,3,3.3,3.35,,
아이엠뱅크,iM스마트예금,"인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.25%p
- 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411050906,202410,0010016,S,단리,6,3.15,3.4,,
아이엠뱅크,iM스마트예금,"인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.25%p
- 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411050906,202410,0010016,S,단리,12,3.1,3.35,,
아이엠뱅크,iM스마트예금,"인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.25%p
- 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411050906,202410,0010016,S,단리,24,2.88,3.13,,
아이엠뱅크,iM스마트예금,"인터넷,스마트폰","만기 후 1개월 미만 경과 : 약정이자율 x 50%
만기 후 3개월 미만 경과 : 약정이자율 x 25% 
만기 후 3개월 이상 경과 : 약정이자율 x 10%","* 최고우대금리 : 연0.25%p
- 가입일(재예치일)로부터 3개월 이내 아래 1가지 이상 요건 충족시
① 당행 주택청약종합저축 보유
② 당행 신용(체크)카드 결제실적 보유(결제금액 출금기준)
* 해당 상품을 인터넷/모바일뱅킹을 통해 가입 : 연0.05%p",1,실명의 개인,계좌당 가입 최저한도 : 100만원,,202411050906,202410,0010016,S,단리,36,2.9,3.15,,
부산은행,LIVE정기예금,"영업점,인터넷","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","*우대이율
가. 3~5개월 특판우대이율 : 0.75%
나. 6~11개월 특판 우대이율: 0.65%
다. 12개월 특판 우대이율 : 0.45%",1,제한없음,"1. 가입금액 :
   1천만원 이상
2. 가입기간 : 
1개월 이상 60개월 이하(일단위)
3. 월이자지급식/만기일시지급식",,202410211031,202410,0010017,S,단리,1,2.25,2.25,,
부산은행,LIVE정기예금,"영업점,인터넷","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","*우대이율
가. 3~5개월 특판우대이율 : 0.75%
나. 6~11개월 특판 우대이율: 0.65%
다. 12개월 특판 우대이율 : 0.45%",1,제한없음,"1. 가입금액 :
   1천만원 이상
2. 가입기간 : 
1개월 이상 60개월 이하(일단위)
3. 월이자지급식/만기일시지급식",,202410211031,202410,0010017,S,단리,3,2.45,3.05,,
부산은행,LIVE정기예금,"영업점,인터넷","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","*우대이율
가. 3~5개월 특판우대이율 : 0.75%
나. 6~11개월 특판 우대이율: 0.65%
다. 12개월 특판 우대이율 : 0.45%",1,제한없음,"1. 가입금액 :
   1천만원 이상
2. 가입기간 : 
1개월 이상 60개월 이하(일단위)
3. 월이자지급식/만기일시지급식",,202410211031,202410,0010017,S,단리,6,2.55,3.05,,
부산은행,LIVE정기예금,"영업점,인터넷","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","*우대이율
가. 3~5개월 특판우대이율 : 0.75%
나. 6~11개월 특판 우대이율: 0.65%
다. 12개월 특판 우대이율 : 0.45%",1,제한없음,"1. 가입금액 :
   1천만원 이상
2. 가입기간 : 
1개월 이상 60개월 이하(일단위)
3. 월이자지급식/만기일시지급식",,202410211031,202410,0010017,S,단리,12,2.75,3.2,,
부산은행,LIVE정기예금,"영업점,인터넷","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","*우대이율
가. 3~5개월 특판우대이율 : 0.75%
나. 6~11개월 특판 우대이율: 0.65%
다. 12개월 특판 우대이율 : 0.45%",1,제한없음,"1. 가입금액 :
   1천만원 이상
2. 가입기간 : 
1개월 이상 60개월 이하(일단위)
3. 월이자지급식/만기일시지급식",,202410211031,202410,0010017,S,단리,24,2.5,2.5,,
부산은행,LIVE정기예금,"영업점,인터넷","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","*우대이율
가. 3~5개월 특판우대이율 : 0.75%
나. 6~11개월 특판 우대이율: 0.65%
다. 12개월 특판 우대이율 : 0.45%",1,제한없음,"1. 가입금액 :
   1천만원 이상
2. 가입기간 : 
1개월 이상 60개월 이하(일단위)
3. 월이자지급식/만기일시지급식",,202410211031,202410,0010017,S,단리,36,2.5,2.5,,
부산은행,더(The) 특판 정기예금,"인터넷,스마트폰","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","* 우대이율 (최대 0.45%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 이벤트 우대이율 : 최대 0.35%p 
1) 더(The) 특판 정기예금 신규고객 우대이율 : 0.20%p
2) 특판 우대이율 : 0.15%p",1,실명의 개인,"1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년
3. 이자지급방식 : 만기일시지급식",,202410211031,202410,0010017,S,단리,1,2.05,2.5,,
부산은행,더(The) 특판 정기예금,"인터넷,스마트폰","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","* 우대이율 (최대 0.45%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 이벤트 우대이율 : 최대 0.35%p 
1) 더(The) 특판 정기예금 신규고객 우대이율 : 0.20%p
2) 특판 우대이율 : 0.15%p",1,실명의 개인,"1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년
3. 이자지급방식 : 만기일시지급식",,202410211031,202410,0010017,S,단리,3,2.6,3.05,,
부산은행,더(The) 특판 정기예금,"인터넷,스마트폰","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","* 우대이율 (최대 0.45%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 이벤트 우대이율 : 최대 0.35%p 
1) 더(The) 특판 정기예금 신규고객 우대이율 : 0.20%p
2) 특판 우대이율 : 0.15%p",1,실명의 개인,"1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년
3. 이자지급방식 : 만기일시지급식",,202410211031,202410,0010017,S,단리,6,2.85,3.3,,
부산은행,더(The) 특판 정기예금,"인터넷,스마트폰","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","* 우대이율 (최대 0.45%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 이벤트 우대이율 : 최대 0.35%p 
1) 더(The) 특판 정기예금 신규고객 우대이율 : 0.20%p
2) 특판 우대이율 : 0.15%p",1,실명의 개인,"1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년
3. 이자지급방식 : 만기일시지급식",,202410211031,202410,0010017,S,단리,12,3.0,3.45,,
부산은행,더(The) 특판 정기예금,"인터넷,스마트폰","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","* 우대이율 (최대 0.45%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 이벤트 우대이율 : 최대 0.35%p 
1) 더(The) 특판 정기예금 신규고객 우대이율 : 0.20%p
2) 특판 우대이율 : 0.15%p",1,실명의 개인,"1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년
3. 이자지급방식 : 만기일시지급식",,202410211031,202410,0010017,S,단리,24,2.25,2.7,,
부산은행,더(The) 특판 정기예금,"인터넷,스마트폰","- 만기후1년내: 가입기간별 일반정기예금이율 x 50%,
- 만기후1년초과:가입기간별 일반정기예금이율 x 20%","* 우대이율 (최대 0.45%p)
가. 모바일뱅킹 금융정보 및 혜택알림 동의 우대이율 : 0.10%p
나. 이벤트 우대이율 : 최대 0.35%p 
1) 더(The) 특판 정기예금 신규고객 우대이율 : 0.20%p
2) 특판 우대이율 : 0.15%p",1,실명의 개인,"1. 가입금액 : 1백만원 이상 제한없음 (원단위)
2. 가입기간 : 1개월, 3개월, 6개월, 1년, 2년, 3년
3. 이자지급방식 : 만기일시지급식",,202410211031,202410,0010017,S,단리,36,1.95,2.4,,
